API NO.,PlatLink,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,PlatFilePath
32946771,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946771&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946771,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0371WA,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896719,Horizontal,New Drill,N,11405,data\plat_files\0371WA\32946771.tif
32946772,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946772&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946772,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0372WC,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896720,Horizontal,New Drill,N,11405,data\plat_files\0372WC\32946772.tif
32946773,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946773&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946773,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0373WB,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896721,Horizontal,New Drill,N,11405,data\plat_files\0373WB\32946773.tif
32946774,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946774&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946774,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0374WA,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896722,Horizontal,New Drill,N,11405,data\plat_files\0374WA\32946774.tif
32946775,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946775&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946775,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0375WC,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896723,Horizontal,New Drill,N,11405,data\plat_files\0375WC\32946775.tif
32946776,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946776&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946776,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0376WB,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896724,Horizontal,New Drill,N,11405,data\plat_files\0376WB\32946776.tif
32946650,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946650&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946650,Links Images GIS Viewer Completion,08,CMC PEONY A,0361CL,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895164,Horizontal,New Drill,N,11303,data\plat_files\0361CL\32946650.tif
32946651,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946651&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946651,Links Images GIS Viewer Completion,08,CMC PEONY A,0362WC,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895165,Horizontal,New Drill,N,11303,data\plat_files\0362WC\32946651.tif
32946652,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946652&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946652,Links Images GIS Viewer Completion,08,CMC PEONY D,0363CL,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895166,Horizontal,New Drill,N,11303,data\plat_files\0363CL\32946652.tif
32946653,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946653&rrcActionMan=H4sIAAAAAAAAAM2RTWvDMAyGf013DJadlPagQyjbeR9lPYQe3MSkhiQOsrMP8I-fnFLY0p3HLkZ6JF5evY4gBMoIAhDuiOqyDtYNzzU1lTjizN_NSY-jlxmPs2A-tM9a97ZSZZ4rXpC4kg_3h5JLlcqGbNfZoX001NvgnyZDnxfVrHG8lGNvwtk1e7fTXcegQDJhomHvXoym-sxog-LGTOXnaUmtz0ZNun_V3WRmj6wJqljJnZLb9G62CRZ4Mq0d_MGGpMmiP3qQi36xL3MUwPfMj-Q2seLC1JUtXMKfReavUa1x1K2hb5H8mh8cq-Ve8ooQJYKICqUQkS-OBVdxzexW4D9-wBcElhnLwAIAAA,32946653,Links Images GIS Viewer Completion,08,CMC PEONY D,0364JM,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895167,Horizontal,New Drill,N,11303,data\plat_files\0364JM\32946653.tif
