API NO.,PlatLink,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,PlatFilePath
32946771,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946771&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946771,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0371WA,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896719,Horizontal,New Drill,N,11405,data\plat_files\0371WA\32946771.tif
32946772,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946772&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946772,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0372WC,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896720,Horizontal,New Drill,N,11405,data\plat_files\0372WC\32946772.tif
32946773,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946773&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946773,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0373WB,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896721,Horizontal,New Drill,N,11405,data\plat_files\0373WB\32946773.tif
32946774,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946774&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946774,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0374WA,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896722,Horizontal,New Drill,N,11405,data\plat_files\0374WA\32946774.tif
32946775,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946775&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946775,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0375WC,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896723,Horizontal,New Drill,N,11405,data\plat_files\0375WC\32946775.tif
32946776,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946776&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946776,Links Images GIS Viewer Completion,08,CMC BUTTERCUP 25-37 UNIT,0376WB,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 01/22/2024 Approved: 01/25/2024,896724,Horizontal,New Drill,N,11405,data\plat_files\0376WB\32946776.tif
32946650,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946650&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946650,Links Images GIS Viewer Completion,08,CMC PEONY A,0361CL,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895164,Horizontal,New Drill,N,11303,data\plat_files\0361CL\32946650.tif
32946651,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946651&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946651,Links Images GIS Viewer Completion,08,CMC PEONY A,0362WC,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895165,Horizontal,New Drill,N,11303,data\plat_files\0362WC\32946651.tif
32946652,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946652&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946652,Links Images GIS Viewer Completion,08,CMC PEONY D,0363CL,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895166,Horizontal,New Drill,N,11303,data\plat_files\0363CL\32946652.tif
32946653,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=32946653&rrcActionMan=H4sIAAAAAAAAAM1Qy2rDMBD8mvQo9LCDe9iDKe25j9AcTA6KLRSBbJmV3Afo47t2CLROz6UXMTs7GmYnC85BZsEFiBvEtm6TC8Nzi13DD7Dw7-aoxzFKRmuWzIeOzIa3jaqLQpFAwkY-3O9rgmqGHTrv3WAfDfYuxafJ4OfZlXWBRAX0Jp1Ctwt32nsiSkCTJhx24cVobE9EVcCvwjRx2dZoIxs16v5V-8ksGclTydsZlHA01g1x79LsQ0Y_ZiFX80ovC-CCblgeSePMlWdOXbhVMvFnNcVLPVsYtTX4rYZfOxOHZq2bs4LIEgTPCiqe6eBcQpW3xFx__y-VfwGayEsjpgIAAA,32946653,Links Images GIS Viewer Completion,08,CMC PEONY D,0364JM,CHEVRON U. S. A. INC.(148113),MIDLAND,Submitted: 11/08/2023 Approved: 01/02/2024,895167,Horizontal,New Drill,N,11303,data\plat_files\0364JM\32946653.tif
