API NO.,PlatLink,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,PlatFilePath
38940753,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940753&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38940753,Links Images GIS Viewer Completion,08,PRINCE NYMPH 38,753H,"AVANT OPERATING, LLC(100688)",REEVES,Submitted: 08/16/2023 Approved: 04/03/2024,893005,Horizontal,New Drill,N,10800,data/plat_files/753H/38940753.tif
38940494,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940494&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38940494,Links Images GIS Viewer Completion,08,GREYHOUND STATE 55-4-32-35 B (299270),21HA,ANADARKO E&P ONSHORE LLC(020528),REEVES,Submitted: 03/27/2024 Approved: 04/03/2024,888286,Horizontal,New Drill,Y,13000,data/plat_files/21HA/38940494.tif
38940495,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940495&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38940495,Links Images GIS Viewer Completion,08,GREYHOUND STATE 55-4-32-35 F (299271),11HA,ANADARKO E&P ONSHORE LLC(020528),REEVES,Submitted: 03/27/2024 Approved: 04/03/2024,888287,Horizontal,New Drill,Y,13000,data/plat_files/11HA/38940495.tif
38940496,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940496&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38940496,Links Images GIS Viewer Completion,08,GREYHOUND STATE 55-4-32-35 C (299215),12HA,ANADARKO E&P ONSHORE LLC(020528),REEVES,Submitted: 03/27/2024 Approved: 04/03/2024,888288,Horizontal,New Drill,Y,13000,data/plat_files/12HA/38940496.tif
38940497,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940497&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38940497,Links Images GIS Viewer Completion,08,GREYHOUND STATE 55-4-32-35 D (299216),14HA,ANADARKO E&P ONSHORE LLC(020528),REEVES,Submitted: 03/27/2024 Approved: 04/03/2024,888310,Horizontal,New Drill,Y,13000,data/plat_files/14HA/38940497.tif
38940498,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940498&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38940498,Links Images GIS Viewer Completion,08,GREYHOUND STATE 55-4-32-35 G (299272),23HA,ANADARKO E&P ONSHORE LLC(020528),REEVES,Submitted: 03/27/2024 Approved: 04/03/2024,888311,Horizontal,New Drill,Y,13000,data/plat_files/23HA/38940498.tif
38940499,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940499&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38940499,Links Images GIS Viewer Completion,08,GREYHOUND STATE 55-4-32-35 E (299181),15HA,ANADARKO E&P ONSHORE LLC(020528),REEVES,Submitted: 03/27/2024 Approved: 04/03/2024,888313,Horizontal,New Drill,Y,13000,data/plat_files/15HA/38940499.tif
38941153,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38941153&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38941153,Links Images GIS Viewer Completion,08,GREYHOUND STATE 55-4-32-35 H (299182),22H,ANADARKO E&P ONSHORE LLC(020528),REEVES,Submitted: 03/27/2024 Approved: 04/03/2024,898445,Horizontal,New Drill,N,13000,data/plat_files/22H/38941153.tif
38941154,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38941154&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38941154,Links Images GIS Viewer Completion,08,GREYHOUND STATE 55-4-32-35 I (299158),13H,ANADARKO E&P ONSHORE LLC(020528),REEVES,Submitted: 03/27/2024 Approved: 04/03/2024,898447,Horizontal,New Drill,N,13000,data/plat_files/13H/38941154.tif
38940463,https://rrcsearch3.neubus.com/esd3-rrc/api.php?function=GetImage&api_no=38940463&rrcActionMan=H4sIAAAAAAAAAM1STWvDMAz9Nd0xWE5cuoMOYWznrS3rIfTgJiY1OHGQnX2Af_yUrIMt3XnsYqSn58fTQwmEQJlAAMINUV3W0fp-W1NTiSPO-Ks56WEIMuNxFs2bDlnrX1Z5WRQ5EySu5MP9oeQyn8qGrHO2bx8NdTaGp9HQ-6dq1ngmFdiZePbN3t9p5xhQSCaO1O_9zmiqzwxtUFyZqcI8LakN2aBJd8_ajWb2yJr55nYqFJ5Ma_twsHHSYaEfPchFv-DLAkXBOwjgR3I7YeqCqQu2cAZ_FlP4imeNg24NfYvh18zgWC15k1eEJBFEyhFk4oWT4gNYM3L9_b9E_gF9IIlopgIAAA,38940463,Links Images GIS Viewer Completion,08,STEWART 2-11 UNIT (57870),2SB,DIAMONDBACK E&P LLC(217012),REEVES,Submitted: 03/27/2024 Approved: 04/04/2024,888077,Horizontal,New Drill,Y,9545,data/plat_files/2SB/38940463.tif
